date,f107,kp
1749-01,-1,-1
1749-02,-1,-1
1749-03,-1,-1
1749-04,-1,-1
1749-05,-1,-1
1749-06,-1,-1
1749-07,-1,-1
1749-08,-1,-1
1749-09,-1,-1
1749-10,-1,-1
1749-11,-1,-1
1749-12,-1,-1
1750-01,-1,-1
1750-02,-1,-1
1750-03,-1,-1
1750-04,-1,-1
1750-05,-1,-1
1750-06,-1,-1
1750-07,-1,-1
1750-08,-1,-1
1750-09,-1,-1
1750-10,-1,-1
1750-11,-1,-1
1750-12,-1,-1
1751-01,-1,-1
1751-02,-1,-1
1751-03,-1,-1
1751-04,-1,-1
1751-05,-1,-1
1751-06,-1,-1
1751-07,-1,-1
1751-08,-1,-1
1751-09,-1,-1
1751-10,-1,-1
1751-11,-1,-1
1751-12,-1,-1
1752-01,-1,-1
1752-02,-1,-1
1752-03,-1,-1
1752-04,-1,-1
1752-05,-1,-1
1752-06,-1,-1
1752-07,-1,-1
1752-08,-1,-1
1752-09,-1,-1
1752-10,-1,-1
1752-11,-1,-1
1752-12,-1,-1
1753-01,-1,-1
1753-02,-1,-1
1753-03,-1,-1
1753-04,-1,-1
1753-05,-1,-1
1753-06,-1,-1
1753-07,-1,-1
1753-08,-1,-1
1753-09,-1,-1
1753-10,-1,-1
1753-11,-1,-1
1753-12,-1,-1
1754-01,-1,-1
1754-02,-1,-1
1754-03,-1,-1
1754-04,-1,-1
1754-05,-1,-1
1754-06,-1,-1
1754-07,-1,-1
1754-08,-1,-1
1754-09,-1,-1
1754-10,-1,-1
1754-11,-1,-1
1754-12,-1,-1
1755-01,-1,-1
1755-02,-1,-1
1755-03,-1,-1
1755-04,-1,-1
1755-05,-1,-1
1755-06,-1,-1
1755-07,-1,-1
1755-08,-1,-1
1755-09,-1,-1
1755-10,-1,-1
1755-11,-1,-1
1755-12,-1,-1
1756-01,-1,-1
1756-02,-1,-1
1756-03,-1,-1
1756-04,-1,-1
1756-05,-1,-1
1756-06,-1,-1
1756-07,-1,-1
1756-08,-1,-1
1756-09,-1,-1
1756-10,-1,-1
1756-11,-1,-1
1756-12,-1,-1
1757-01,-1,-1
1757-02,-1,-1
1757-03,-1,-1
1757-04,-1,-1
1757-05,-1,-1
1757-06,-1,-1
1757-07,-1,-1
1757-08,-1,-1
1757-09,-1,-1
1757-10,-1,-1
1757-11,-1,-1
1757-12,-1,-1
1758-01,-1,-1
1758-02,-1,-1
1758-03,-1,-1
1758-04,-1,-1
1758-05,-1,-1
1758-06,-1,-1
1758-07,-1,-1
1758-08,-1,-1
1758-09,-1,-1
1758-10,-1,-1
1758-11,-1,-1
1758-12,-1,-1
1759-01,-1,-1
1759-02,-1,-1
1759-03,-1,-1
1759-04,-1,-1
1759-05,-1,-1
1759-06,-1,-1
1759-07,-1,-1
1759-08,-1,-1
1759-09,-1,-1
1759-10,-1,-1
1759-11,-1,-1
1759-12,-1,-1
1760-01,-1,-1
1760-02,-1,-1
1760-03,-1,-1
1760-04,-1,-1
1760-05,-1,-1
1760-06,-1,-1
1760-07,-1,-1
1760-08,-1,-1
1760-09,-1,-1
1760-10,-1,-1
1760-11,-1,-1
1760-12,-1,-1
1761-01,-1,-1
1761-02,-1,-1
1761-03,-1,-1
1761-04,-1,-1
1761-05,-1,-1
1761-06,-1,-1
1761-07,-1,-1
1761-08,-1,-1
1761-09,-1,-1
1761-10,-1,-1
1761-11,-1,-1
1761-12,-1,-1
1762-01,-1,-1
1762-02,-1,-1
1762-03,-1,-1
1762-04,-1,-1
1762-05,-1,-1
1762-06,-1,-1
1762-07,-1,-1
1762-08,-1,-1
1762-09,-1,-1
1762-10,-1,-1
1762-11,-1,-1
1762-12,-1,-1
1763-01,-1,-1
1763-02,-1,-1
1763-03,-1,-1
1763-04,-1,-1
1763-05,-1,-1
1763-06,-1,-1
1763-07,-1,-1
1763-08,-1,-1
1763-09,-1,-1
1763-10,-1,-1
1763-11,-1,-1
1763-12,-1,-1
1764-01,-1,-1
1764-02,-1,-1
1764-03,-1,-1
1764-04,-1,-1
1764-05,-1,-1
1764-06,-1,-1
1764-07,-1,-1
1764-08,-1,-1
1764-09,-1,-1
1764-10,-1,-1
1764-11,-1,-1
1764-12,-1,-1
1765-01,-1,-1
1765-02,-1,-1
1765-03,-1,-1
1765-04,-1,-1
1765-05,-1,-1
1765-06,-1,-1
1765-07,-1,-1
1765-08,-1,-1
1765-09,-1,-1
1765-10,-1,-1
1765-11,-1,-1
1765-12,-1,-1
1766-01,-1,-1
1766-02,-1,-1
1766-03,-1,-1
1766-04,-1,-1
1766-05,-1,-1
1766-06,-1,-1
1766-07,-1,-1
1766-08,-1,-1
1766-09,-1,-1
1766-10,-1,-1
1766-11,-1,-1
1766-12,-1,-1
1767-01,-1,-1
1767-02,-1,-1
1767-03,-1,-1
1767-04,-1,-1
1767-05,-1,-1
1767-06,-1,-1
1767-07,-1,-1
1767-08,-1,-1
1767-09,-1,-1
1767-10,-1,-1
1767-11,-1,-1
1767-12,-1,-1
1768-01,-1,-1
1768-02,-1,-1
1768-03,-1,-1
1768-04,-1,-1
1768-05,-1,-1
1768-06,-1,-1
1768-07,-1,-1
1768-08,-1,-1
1768-09,-1,-1
1768-10,-1,-1
1768-11,-1,-1
1768-12,-1,-1
1769-01,-1,-1
1769-02,-1,-1
1769-03,-1,-1
1769-04,-1,-1
1769-05,-1,-1
1769-06,-1,-1
1769-07,-1,-1
1769-08,-1,-1
1769-09,-1,-1
1769-10,-1,-1
1769-11,-1,-1
1769-12,-1,-1
1770-01,-1,-1
